image,object_type,object_name,eccentricity,bbox_x,bbox_y,bbox_width,bbox_height,centroid_x,centroid_y
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_1808_189.png,0.2554318823899379,1808,189,14,14,1815.0,196.0
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_2486_505.png,0.0526960515360394,2486,505,11,11,2491.5,510.5
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_1928_533.png,0.2687459592331301,1928,533,12,12,1934.0,539.0
Raw_Observation_001_Set1.tiff,streak,streak_Raw_Observation_001_Set1_1585_690.png,0.96057315128178,1585,690,18,5,1594.0,692.5
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_1061_765.png,0.1904912937588063,1061,765,19,19,1070.5,774.5
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_3696_888.png,0.2368230317817238,3696,888,13,13,3702.5,894.5
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_1977_948.png,0.2714703654005676,1977,948,11,10,1982.5,953.0
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_3577_958.png,0.4378054522692111,3577,958,12,12,3583.0,964.0
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_3514_967.png,0.1987212963912859,3514,967,11,11,3519.5,972.5
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_2888_972.png,0.2158035688105136,2888,972,12,12,2894.0,978.0
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_3457_1083.png,0.3380300951314796,3457,1083,10,11,3462.0,1088.5
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_3448_1147.png,0.2736950653701366,3448,1147,12,13,3454.0,1153.5
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_2352_1195.png,0.3464615899359399,2352,1195,10,11,2357.0,1200.5
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_190_1384.png,0.268292025826946,190,1384,15,15,197.5,1391.5
Raw_Observation_001_Set1.tiff,streak,streak_Raw_Observation_001_Set1_1052_1421.png,0.981956676705362,1052,1421,94,27,1099.0,1434.5
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_3291_1430.png,0.2567729208933591,3291,1430,12,11,3297.0,1435.5
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_1241_1436.png,0.1802145950779671,1241,1436,12,12,1247.0,1442.0
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_2469_1653.png,0.2835405641025317,2469,1653,12,12,2475.0,1659.0
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_2177_1959.png,0.0808074918944311,2177,1959,10,11,2182.0,1964.5
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_3227_2460.png,0.2664876054655752,3227,2460,13,13,3233.5,2466.5
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_678_2496.png,0.2560301624240025,678,2496,12,12,684.0,2502.0
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_3472_2595.png,0.3915817034586056,3472,2595,9,10,3476.5,2600.0
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_1569_2643.png,0.1239275239299418,1569,2643,14,14,1576.0,2650.0
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_187_2742.png,0.1109815053567493,187,2742,14,14,194.0,2749.0
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_2519_2773.png,0.1866388040595821,2519,2773,20,21,2529.0,2783.5
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_1372_2902.png,0.2628806350568402,1372,2902,13,13,1378.5,2908.5
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_1809_3279.png,0.1256502951772702,1809,3279,11,11,1814.5,3284.5
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_1586_3366.png,0.1866840945563398,1586,3366,15,15,1593.5,3373.5
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_3777_3399.png,0.116759462674784,3777,3399,19,19,3786.5,3408.5
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_1898_3494.png,0.2642885480602416,1898,3494,10,10,1903.0,3499.0
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_924_3507.png,0.1365858461241363,924,3507,16,16,932.0,3515.0
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_3163_3741.png,0.1807771111364211,3163,3741,16,17,3171.0,3749.5
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_2415_3778.png,0.1916818600803707,2415,3778,15,15,2422.5,3785.5
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_1910_4152.png,0.0956227913341555,1910,4152,14,14,1917.0,4159.0
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_1809_187.png,0.1974540261565005,1809,187,14,14,1816.0,194.0
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_2487_503.png,0.2726050089516424,2487,503,11,12,2492.5,509.0
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_1928_530.png,0.1504102797193052,1928,530,13,13,1934.5,536.5
Raw_Observation_002_Set1.tiff,streak,streak_Raw_Observation_002_Set1_1627_689.png,0.9550322721351144,1627,689,18,6,1636.0,692.0
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_1062_763.png,0.1198649027202448,1062,763,19,19,1071.5,772.5
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_3697_887.png,0.2078737886836808,3697,887,13,12,3703.5,893.0
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_1978_946.png,0.2951867497349225,1978,946,10,11,1983.0,951.5
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_3578_957.png,0.3553025253201824,3578,957,12,12,3584.0,963.0
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_3377_963.png,0.3915817034586058,3377,963,10,9,3382.0,967.5
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_3516_966.png,0.296033561552094,3516,966,10,11,3521.0,971.5
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_2889_970.png,0.1802145950779665,2889,970,12,12,2895.0,976.0
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_3458_1082.png,0.2753833599349222,3458,1082,11,10,3463.5,1087.0
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_3448_1146.png,0.2122726447630288,3448,1146,13,12,3454.5,1152.0
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_2352_1193.png,0.2072507032741364,2352,1193,11,11,2357.5,1198.5
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_191_1382.png,0.2065877239154659,191,1382,15,15,198.5,1389.5
Raw_Observation_002_Set1.tiff,streak,streak_Raw_Observation_002_Set1_1218_1399.png,0.9817304597008856,1218,1399,97,27,1266.5,1412.5
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_3292_1428.png,0.3198676096583491,3292,1428,12,12,3298.0,1434.0
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_1242_1434.png,0.0441763505736033,1242,1434,12,12,1248.0,1440.0
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_2470_1652.png,0.2857386372777829,2470,1652,12,12,2476.0,1658.0
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_2178_1957.png,0.2894833070842749,2178,1957,10,11,2183.0,1962.5
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_3227_2458.png,0.1778929660729882,3227,2458,13,14,3233.5,2465.0
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_679_2494.png,0.3693099373366096,679,2494,12,12,685.0,2500.0
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_3472_2594.png,0.3225544942763705,3472,2594,10,10,3477.0,2599.0
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_1569_2641.png,0.13706074374254,1569,2641,15,14,1576.5,2648.0
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_187_2740.png,0.13706074374254,187,2740,15,14,194.5,2747.0
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_2520_2772.png,0.1676647145364783,2520,2772,20,20,2530.0,2782.0
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_1372_2900.png,0.3496128569990035,1372,2900,14,13,1379.0,2906.5
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_1809_3277.png,0.1769517737740309,1809,3277,12,11,1815.0,3282.5
