image,object_type,object_name,eccentricity,bbox_x,bbox_y,bbox_width,bbox_height,padded_size
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_1808_189.png,0.2554318823899379,1808,189,14,14,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_2486_505.png,0.05269605153603945,2486,505,11,11,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_1928_533.png,0.2687459592331301,1928,533,12,12,128
Raw_Observation_001_Set1.tiff,streak,streak_Raw_Observation_001_Set1_1585_690.png,0.9605731512817799,1585,690,18,5,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_1061_765.png,0.19049129375880638,1061,765,19,19,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_3696_888.png,0.23682303178172387,3696,888,13,13,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_1977_948.png,0.2714703654005676,1977,948,11,10,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_3577_958.png,0.43780545226921114,3577,958,12,12,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_3514_967.png,0.19872129639128594,3514,967,11,11,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_2888_972.png,0.21580356881051366,2888,972,12,12,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_3457_1083.png,0.33803009513147964,3457,1083,10,11,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_3448_1147.png,0.27369506537013666,3448,1147,12,13,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_2352_1195.png,0.3464615899359399,2352,1195,10,11,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_190_1384.png,0.26829202582694606,190,1384,15,15,128
Raw_Observation_001_Set1.tiff,streak,streak_Raw_Observation_001_Set1_1052_1421.png,0.9819566767053619,1052,1421,94,27,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_3291_1430.png,0.2567729208933591,3291,1430,12,11,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_1241_1436.png,0.18021459507796714,1241,1436,12,12,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_2469_1653.png,0.2835405641025317,2469,1653,12,12,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_2177_1959.png,0.08080749189443112,2177,1959,10,11,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_3227_2460.png,0.2664876054655752,3227,2460,13,13,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_678_2496.png,0.2560301624240025,678,2496,12,12,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_3472_2595.png,0.39158170345860566,3472,2595,9,10,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_1569_2643.png,0.12392752392994184,1569,2643,14,14,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_187_2742.png,0.11098150535674932,187,2742,14,14,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_2519_2773.png,0.1866388040595821,2519,2773,20,21,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_1372_2902.png,0.2628806350568402,1372,2902,13,13,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_1809_3279.png,0.1256502951772702,1809,3279,11,11,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_1586_3366.png,0.18668409455633986,1586,3366,15,15,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_3777_3399.png,0.11675946267478408,3777,3399,19,19,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_1898_3494.png,0.26428854806024166,1898,3494,10,10,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_924_3507.png,0.1365858461241363,924,3507,16,16,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_3163_3741.png,0.18077711113642114,3163,3741,16,17,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_2415_3778.png,0.19168186008037078,2415,3778,15,15,128
Raw_Observation_001_Set1.tiff,star,star_Raw_Observation_001_Set1_1910_4152.png,0.09562279133415556,1910,4152,14,14,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_1809_187.png,0.19745402615650057,1809,187,14,14,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_2487_503.png,0.27260500895164247,2487,503,11,12,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_1928_530.png,0.15041027971930523,1928,530,13,13,128
Raw_Observation_002_Set1.tiff,streak,streak_Raw_Observation_002_Set1_1627_689.png,0.9550322721351143,1627,689,18,6,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_1062_763.png,0.1198649027202448,1062,763,19,19,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_3697_887.png,0.2078737886836808,3697,887,13,12,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_1978_946.png,0.29518674973492254,1978,946,10,11,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_3578_957.png,0.35530252532018247,3578,957,12,12,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_3377_963.png,0.3915817034586058,3377,963,10,9,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_3516_966.png,0.296033561552094,3516,966,10,11,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_2889_970.png,0.18021459507796653,2889,970,12,12,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_3458_1082.png,0.2753833599349222,3458,1082,11,10,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_3448_1146.png,0.21227264476302887,3448,1146,13,12,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_2352_1193.png,0.20725070327413647,2352,1193,11,11,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_191_1382.png,0.2065877239154659,191,1382,15,15,128
Raw_Observation_002_Set1.tiff,streak,streak_Raw_Observation_002_Set1_1218_1399.png,0.9817304597008857,1218,1399,97,27,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_3292_1428.png,0.31986760965834915,3292,1428,12,12,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_1242_1434.png,0.044176350573603376,1242,1434,12,12,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_2470_1652.png,0.2857386372777829,2470,1652,12,12,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_2178_1957.png,0.28948330708427494,2178,1957,10,11,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_3227_2458.png,0.17789296607298827,3227,2458,13,14,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_679_2494.png,0.36930993733660966,679,2494,12,12,128
Raw_Observation_002_Set1.tiff,star,star_Raw_Observation_002_Set1_3472_2594.png,0.3225544942763705,3472,2594,10,10,128
