image,bbox_x,bbox_y,bbox_width,bbox_height,object_type
Raw_Observation_001_Set1_0_1536.tiff,272,189,14,14,star
Raw_Observation_001_Set1_0_2048.tiff,438,505,11,7,star
Raw_Observation_001_Set1_512_1024.tiff,37,253,19,19,star
Raw_Observation_001_Set1_512_1536.tiff,392,21,12,12,star
Raw_Observation_001_Set1_512_1536.tiff,49,178,18,5,streak
Raw_Observation_001_Set1_512_1536.tiff,441,436,11,10,star
Raw_Observation_001_Set1_512_2048.tiff,438,0,11,4,star
Raw_Observation_001_Set1_512_2560.tiff,328,460,12,12,star
Raw_Observation_001_Set1_512_3072.tiff,505,446,7,12,star
Raw_Observation_001_Set1_512_3072.tiff,442,455,11,11,star
Raw_Observation_001_Set1_512_3584.tiff,112,376,13,13,star
Raw_Observation_001_Set1_512_3584.tiff,0,446,5,12,star
Raw_Observation_001_Set1_1024_0.tiff,190,360,15,15,star
Raw_Observation_001_Set1_1024_1024.tiff,28,397,94,27,streak
Raw_Observation_001_Set1_1024_1024.tiff,217,412,12,12,star
Raw_Observation_001_Set1_1024_2048.tiff,304,171,10,11,star
Raw_Observation_001_Set1_1024_3072.tiff,385,59,10,11,star
Raw_Observation_001_Set1_1024_3072.tiff,376,123,12,13,star
Raw_Observation_001_Set1_1024_3072.tiff,219,406,12,11,star
Raw_Observation_001_Set1_1536_2048.tiff,421,117,12,12,star
Raw_Observation_001_Set1_1536_2048.tiff,129,423,10,11,star
Raw_Observation_001_Set1_2048_512.tiff,166,448,12,12,star
Raw_Observation_001_Set1_2048_3072.tiff,155,412,13,13,star
Raw_Observation_001_Set1_2560_0.tiff,187,182,14,14,star
Raw_Observation_001_Set1_2560_1024.tiff,348,342,13,13,star
Raw_Observation_001_Set1_2560_1536.tiff,33,83,14,14,star
Raw_Observation_001_Set1_2560_2048.tiff,471,213,20,21,star
Raw_Observation_001_Set1_2560_3072.tiff,400,35,9,10,star
Raw_Observation_001_Set1_3072_512.tiff,412,435,16,16,star
Raw_Observation_001_Set1_3072_1536.tiff,273,207,11,11,star
